abcd,nda,instrument
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_paracentral.rh,ssticrspvscrgobctxrhparact,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_medialorbitofrontal.rh,ssticrspvscrgobctxrhmlobofr,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_middletemporal.rh,ssticrspvscrgobctxrhmdtp,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_isthmuscingulate.rh,ssticrspvscrgobctxrhm,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_lateraloccipital.rh,ssticrspvscrgobctxrhltoc,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_lateralorbitofrontal.rh,ssticrspvscrgobctxrhltobofr,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_lingual.rh,ssticrspvscrgobctxrhlingual,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_inferiortemporal.rh,ssticrspvscrgobctxrhiftp,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_inferiorparietal.rh,ssticrspvscrgobctxrhifpar,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_frontalpole.rh,ssticrspvscrgobctxrhfrpole,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_fusiform.rh,ssticrspvscrgobctxrhff,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_cuneus.rh,ssticrspvscrgobctxrhcuneus,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_caudalmiddlefrontal.rh,ssticrspvscrgobctxrhcdmdfr,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_caudalanteriorcingulate.rh,ssticrspvscrgobctxrhcdantcg,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_bankssts.rh,ssticrspvscrgobctxrhbankssts,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_transversetemporal.lh,ssticrspvscrgobctxlhtvstp,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_temporalpole.lh,ssticrspvscrgobctxlhtppole,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_rostralmiddlefrontal.lh,ssticrspvscrgobctxlhtmd,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_superiortemporal.lh,ssticrspvscrgobctxlhsutp,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_superiorparietal.lh,ssticrspvscrgobctxlhsupar,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_superiorfrontal.lh,ssticrspvscrgobctxlhsufr,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_supramarginal.lh,ssticrspvscrgobctxlhsmg,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_rostralanteriorcingulate.lh,ssticrspvscrgobctxlhrlg,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_posteriorcingulate.lh,ssticrspvscrgobctxlhpstcg,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_parsorbitalis.lh,ssticrspvscrgobctxlhpsb,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_precentral.lh,ssticrspvscrgobctxlhprect,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_postcentral.lh,ssticrspvscrgobctxlhpostct,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_precuneus.lh,ssticrspvscrgobctxlhpcn,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_pericalcarine.lh,ssticrspvscrgobctxlhpcar,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_parsopercularis.lh,ssticrspvscrgobctxlhparsops,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_parstriangularis.lh,ssticrspvscrgobctxlhparsgs,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_parahippocampal.lh,ssticrspvscrgobctxlhparahip,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_paracentral.lh,ssticrspvscrgobctxlhparact,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_medialorbitofrontal.lh,ssticrspvscrgobctxlhmlobofr,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_middletemporal.lh,ssticrspvscrgobctxlhmdtp,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_lateraloccipital.lh,ssticrspvscrgobctxlhltoc,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_lateralorbitofrontal.lh,ssticrspvscrgobctxlhltobofr,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_cort.desikan_lingual.lh,ssticrspvscrgobctxlhlingual,sstroi01
