abcd,nda,instrument
dmri_rsi.n2_fiber.at_ilf.rh,mri_rsi_fiber_n2_r_ilf,mri_rsi01
dmri_rsi.n2_fiber.at_ilf.lh,mri_rsi_fiber_n2_l_ilf,mri_rsi01
dmri_rsi.n2_fiber.at_ifo.rh,mri_rsi_fiber_n2_r_ifo,mri_rsi01
dmri_rsi.n2_fiber.at_ifo.lh,mri_rsi_fiber_n2_l_ifo,mri_rsi01
dmri_rsi.n2_fiber.at_fmaj,mri_rsi_fiber_n2_fmaj,mri_rsi01
dmri_rsi.n2_fiber.at_fmin,mri_rsi_fiber_n2_fmin,mri_rsi01
dmri_rsi.n2_fiber.at_cc,mri_rsi_fiber_n2_cc,mri_rsi01
dmri_rsi.n2_fiber.at_slf.rh,mri_rsi_fiber_n2_r_slf,mri_rsi01
dmri_rsi.n2_fiber.at_slf.lh,mri_rsi_fiber_n2_l_slf,mri_rsi01
dmri_rsi.n2_fiber.at_tslf.rh,mri_rsi_fiber_n2_r_tslf,mri_rsi01
dmri_rsi.n2_fiber.at_tslf.lh,mri_rsi_fiber_n2_l_tslf,mri_rsi01
dmri_rsi.n2_fiber.at_pslf.rh,mri_rsi_fiber_n2_r_pslf,mri_rsi01
dmri_rsi.n2_fiber.at_pslf.lh,mri_rsi_fiber_n2_l_pslf,mri_rsi01
dmri_rsi.n2_fiber.at_scs.rh,mri_rsi_fiber_n2_r_scs,mri_rsi01
dmri_rsi.n2_fiber.at_scs.lh,mri_rsi_fiber_n2_l_scs,mri_rsi01
dmri_rsi.n2_fiber.at_fscs.rh,mri_rsi_fiber_n2_r_fscs,mri_rsi01
dmri_rsi.n2_fiber.at_fscs.lh,mri_rsi_fiber_n2_l_fscs,mri_rsi01
dmri_rsi.n2_fiber.at_pscs.rh,mri_rsi_fiber_n2_r_pscs,mri_rsi01
dmri_rsi.n2_fiber.at_pscs.lh,mri_rsi_fiber_n2_l_pscs,mri_rsi01
dmri_rsi.n2_fiber.at_sifc.rh,mri_rsi_fiber_n2_r_sifc,mri_rsi01
dmri_rsi.n2_fiber.at_sifc.lh,mri_rsi_fiber_n2_l_sifc,mri_rsi01
dmri_rsi.n2_fiber.at_ifsfc.rh,mri_rsi_fiber_n2_r_ifsfc,mri_rsi01
dmri_rsi.n2_fiber.at_ifsfc.lh,mri_rsi_fiber_n2_l_ifsfc,mri_rsi01
