"name"
"nihtbx_fluidcomp_uncorrected"
"nihtbx_fluidcomp_agecorrected"
"nihtbx_cryst_uncorrected"
"nihtbx_cryst_agecorrected"
"nihtbx_totalcomp_agecorrected"
"nihtbx_totalcomp_uncorrected"
