abcd,nda,instrument
smri_thick_cort.fuzzy12_superiorparietal.lh,ct_lh_f12_superiorpariet,freesvol01
smri_thick_cort.fuzzy12_orbitofrontal.lh,ct_lh_f12_orbitofront,freesvol01
smri_thick_cort.fuzzy12_superiortemporal.lh,ct_lh_f12_superiortemp,freesvol01
smri_thick_cort.fuzzy12_inferiorparietal.lh,ct_lh_f12_inferiorpariet,freesvol01
smri_thick_cort.fuzzy12_dorsomedialfrontal.lh,ct_lh_f12_dorsomedialfront,freesvol01
smri_thick_cort.fuzzy12_anteromedialtemporal.lh,ct_lh_f12_anteromedialtemp,freesvol01
smri_thick_cort.fuzzy12_precuneus.lh,ct_lh_f12_precuneus,freesvol01
smri_thick_cort.fuzzy12_dorsolateralprefrontal.lh,ct_lh_f12_dorso_ltr_prefront,freesvol01
smri_thick_cort.fuzzy12_parsopercularis.lh,ct_lh_f12_parsopercularis,freesvol01
smri_thick_cort.fuzzy2_frontal.rh,ct_rh_f2_front,freesvol01
smri_thick_cort.fuzzy2_posterior.rh,ct_rh_f2_posterior,freesvol01
smri_thick_cort.fuzzy4_frontal.rh,ct_rh_f4_front,freesvol01
smri_thick_cort.fuzzy4_occipital.rh,ct_rh_f4_occipital,freesvol01
smri_thick_cort.fuzzy4_temporal.rh,ct_rh_f4_temp,freesvol01
smri_thick_cort.fuzzy4_parietal.rh,ct_rh_f4_pariet,freesvol01
smri_thick_cort.fuzzy12_central.rh,ct_rh_f12_central,freesvol01
smri_thick_cort.fuzzy12_occipital.rh,ct_rh_f12_occipital,freesvol01
smri_thick_cort.fuzzy12_posterolateraltemporal.rh,ct_rh_f12_postero_ltr_temp,freesvol01
smri_thick_cort.fuzzy12_superiorparietal.rh,ct_rh_f12_superiorpariet,freesvol01
smri_thick_cort.fuzzy12_orbitofrontal.rh,ct_rh_f12_orbitofront,freesvol01
smri_thick_cort.fuzzy12_superiortemporal.rh,ct_rh_f12_superiortemp,freesvol01
smri_thick_cort.fuzzy12_inferiorparietal.rh,ct_rh_f12_inferiorpariet,freesvol01
smri_thick_cort.fuzzy12_dorsomedialfrontal.rh,ct_rh_f12_dorsomedialfront,freesvol01
smri_thick_cort.fuzzy12_anteromedialtemporal.rh,ct_rh_f12_anteromedialtemp,freesvol01
smri_thick_cort.fuzzy12_precuneus.rh,ct_rh_f12_precuneus,freesvol01
smri_thick_cort.fuzzy12_dorsolateralprefrontal.rh,ct_rh_f12_dorso_ltr_prefront,freesvol01
smri_thick_cort.fuzzy12_parsopercularis.rh,ct_rh_f12_parsopercularis,freesvol01
smri_thick_cort.desikan_mean.lh,ct_lh_mean,freesvol01
smri_thick_cort.desikan_mean.rh,ct_rh_mean,freesvol01
smri_thick_cort.desikan_mean,ct_mean,freesvol01
smri_area_cort.desikan_bankssts.lh,ca_lh_bankssts,freesvol01
smri_area_cort.desikan_caudalanteriorcingulate.lh,ca_lh_caudalanteriorcing,freesvol01
smri_area_cort.desikan_caudalmiddlefrontal.lh,ca_lh_caudalmiddlefront,freesvol01
smri_area_cort.desikan_cuneus.lh,ca_lh_cuneus,freesvol01
smri_area_cort.desikan_entorhinal.lh,ca_lh_entorhinal,freesvol01
smri_area_cort.desikan_fusiform.lh,ca_lh_fusiform,freesvol01
smri_area_cort.desikan_inferiorparietal.lh,ca_lh_inferiorpariet,freesvol01
smri_area_cort.desikan_inferiortemporal.lh,ca_lh_inferiortemp,freesvol01
smri_area_cort.desikan_isthmuscingulate.lh,ca_lh_isthmuscing,freesvol01
smri_area_cort.desikan_lateraloccipital.lh,ca_lh_ltr_occipital,freesvol01
smri_area_cort.desikan_lateralorbitofrontal.lh,ca_lh_ltr_orbitofront,freesvol01
smri_area_cort.desikan_lingual.lh,ca_lh_lingual,freesvol01
smri_area_cort.desikan_medialorbitofrontal.lh,ca_lh_medialorbitofront,freesvol01
smri_area_cort.desikan_middletemporal.lh,ca_lh_middletemp,freesvol01
smri_area_cort.desikan_parahippocampal.lh,ca_lh_parahippocampal,freesvol01
smri_area_cort.desikan_paracentral.lh,ca_lh_paracentral,freesvol01
smri_area_cort.desikan_parsopercularis.lh,ca_lh_parsopercularis,freesvol01
smri_area_cort.desikan_parsorbitalis.lh,ca_lh_parsorbitalis,freesvol01
smri_area_cort.desikan_parstriangularis.lh,ca_lh_parstriangularis,freesvol01
smri_area_cort.desikan_pericalcarine.lh,ca_lh_pericalcarine,freesvol01
smri_area_cort.desikan_postcentral.lh,ca_lh_postcentral,freesvol01
smri_area_cort.desikan_posteriorcingulate.lh,ca_lh_posteriorcing,freesvol01
smri_area_cort.desikan_precentral.lh,ca_lh_precentral,freesvol01
smri_area_cort.desikan_precuneus.lh,ca_lh_precuneus,freesvol01
smri_area_cort.desikan_rostralanteriorcingulate.lh,ca_lh_rostralanteriorcing,freesvol01
smri_area_cort.desikan_rostralmiddlefrontal.lh,ca_lh_rostralmiddlefront,freesvol01
smri_area_cort.desikan_superiorfrontal.lh,ca_lh_superiorfront,freesvol01
smri_area_cort.desikan_superiorparietal.lh,ca_lh_superiorpariet,freesvol01
smri_area_cort.desikan_superiortemporal.lh,ca_lh_superiortemp,freesvol01
smri_area_cort.desikan_supramarginal.lh,ca_lh_supramarginal,freesvol01
smri_area_cort.desikan_frontalpole.lh,ca_lh_frontpole,freesvol01
smri_area_cort.desikan_temporalpole.lh,ca_lh_temppole,freesvol01
smri_area_cort.desikan_transversetemporal.lh,ca_lh_transversetemp,freesvol01
smri_area_cort.desikan_bankssts.rh,ca_rh_bankssts,freesvol01
smri_area_cort.desikan_caudalanteriorcingulate.rh,ca_rh_caudalanteriorcing,freesvol01
smri_area_cort.desikan_caudalmiddlefrontal.rh,ca_rh_caudalmiddlefront,freesvol01
smri_area_cort.desikan_cuneus.rh,ca_rh_cuneus,freesvol01
smri_area_cort.desikan_entorhinal.rh,ca_rh_entorhinal,freesvol01
smri_area_cort.desikan_fusiform.rh,ca_rh_fusiform,freesvol01
smri_area_cort.desikan_inferiorparietal.rh,ca_rh_inferiorpariet,freesvol01
smri_area_cort.desikan_inferiortemporal.rh,ca_rh_inferiortemp,freesvol01
smri_area_cort.desikan_isthmuscingulate.rh,ca_rh_isthmuscing,freesvol01
smri_area_cort.desikan_lateraloccipital.rh,ca_rh_ltr_occipital,freesvol01
smri_area_cort.desikan_lateralorbitofrontal.rh,ca_rh_ltr_orbitofront,freesvol01
smri_area_cort.desikan_lingual.rh,ca_rh_lingual,freesvol01
smri_area_cort.desikan_medialorbitofrontal.rh,ca_rh_medialorbitofront,freesvol01
smri_area_cort.desikan_middletemporal.rh,ca_rh_middletemp,freesvol01
smri_area_cort.desikan_parahippocampal.rh,ca_rh_parahippocampal,freesvol01
smri_area_cort.desikan_paracentral.rh,ca_rh_paracentral,freesvol01
smri_area_cort.desikan_parsopercularis.rh,ca_rh_parsopercularis,freesvol01
smri_area_cort.desikan_parsorbitalis.rh,ca_rh_parsorbitalis,freesvol01
smri_area_cort.desikan_parstriangularis.rh,ca_rh_parstriangularis,freesvol01
smri_area_cort.desikan_pericalcarine.rh,ca_rh_pericalcarine,freesvol01
smri_area_cort.desikan_postcentral.rh,ca_rh_postcentral,freesvol01
smri_area_cort.desikan_posteriorcingulate.rh,ca_rh_posteriorcing,freesvol01
smri_area_cort.desikan_precentral.rh,ca_rh_precentral,freesvol01
smri_area_cort.desikan_precuneus.rh,ca_rh_precuneus,freesvol01
smri_area_cort.desikan_rostralanteriorcingulate.rh,ca_rh_rostralanteriorcing,freesvol01
smri_area_cort.desikan_rostralmiddlefrontal.rh,ca_rh_rostralmiddlefront,freesvol01
smri_area_cort.desikan_superiorfrontal.rh,ca_rh_superiorfront,freesvol01
smri_area_cort.desikan_superiorparietal.rh,ca_rh_superiorpariet,freesvol01
smri_area_cort.desikan_superiortemporal.rh,ca_rh_superiortemp,freesvol01
smri_area_cort.desikan_supramarginal.rh,ca_rh_supramarginal,freesvol01
smri_area_cort.desikan_frontalpole.rh,ca_rh_frontpole,freesvol01
smri_area_cort.desikan_temporalpole.rh,ca_rh_temppole,freesvol01
smri_area_cort.desikan_transversetemporal.rh,ca_rh_transversetemp,freesvol01
smri_area_cort.fuzzy2_frontal.lh,ca_lh_f2_front,freesvol01
smri_area_cort.fuzzy2_posterior.lh,ca_lh_f2_posterior,freesvol01
smri_area_cort.fuzzy4_frontal.lh,ca_lh_f4_front,freesvol01
smri_area_cort.fuzzy4_occipital.lh,ca_lh_f4_occipital,freesvol01
smri_area_cort.fuzzy4_temporal.lh,ca_lh_f4_temp,freesvol01
smri_area_cort.fuzzy4_parietal.lh,ca_lh_f4_pariet,freesvol01
smri_area_cort.fuzzy12_central.lh,ca_lh_f12_central,freesvol01
smri_area_cort.fuzzy12_occipital.lh,ca_lh_f12_occipital,freesvol01
smri_area_cort.fuzzy12_posterolateraltemporal.lh,ca_lh_f12_postero_ltr_temp,freesvol01
smri_area_cort.fuzzy12_superiorparietal.lh,ca_lh_f12_superiorpariet,freesvol01
smri_area_cort.fuzzy12_orbitofrontal.lh,ca_lh_f12_orbitofront,freesvol01
